Status,Category,Parameter,riverMiles,totalMiles,percentMiles,Use
Impaired,Biotic,Algal Growth,1499.2684,387963.249,0.3864459852484636,Drinking Water Use
Impaired,Nutrients,Ammonia,381.0572,387963.249,0.0982199218565674,Drinking Water Use
Impaired,Biotic,Biotoxins,1638.48,387963.249,0.422328662372863,Drinking Water Use
Impaired,Organics,Dioxins,845.1757,387963.249,0.21784942315502673,Drinking Water Use
Impaired,Metals and Physical,Mercury,5747.6398,387963.249,1.4814907893505138,Drinking Water Use
Impaired,Metals and Physical,Metals Other than Mercury,90942.8962,387963.249,23.441111093489166,Drinking Water Use
Impaired,Nutrients,Other Nutrients,15112.4252,387963.249,3.8953239099201378,Drinking Water Use
Impaired,Organics,Oil and Grease,91.428,387963.249,0.023566149689606294,Drinking Water Use
Impaired,Metals and Physical,Oxygen Depletion,15640.6763,387963.249,4.031483997598958,Drinking Water Use
Impaired,Biotic,Pathogens,20973.0173,387963.249,5.405928874464086,Drinking Water Use
Impaired,Organics,Pesticides,6364.7491,387963.249,1.6405546443910721,Drinking Water Use
Impaired,Metals and Physical,Acidity/pH,6887.7616,387963.249,1.775364449533208,Drinking Water Use
Impaired,Organics,PCBs,1998.3754,387963.249,0.5150939954108901,Drinking Water Use
Impaired,Sediment,Sediment,28630.9694,387963.249,7.3798148339560905,Drinking Water Use
Impaired,Salinity,Chlorides Sulfates,43045.8415,387963.249,11.095339986700647,Drinking Water Use
Impaired,Temp,Temperature,27253.0797,387963.249,7.024654982204255,Drinking Water Use
Impaired,Organics,Toxic Organics,427.3297,387963.249,0.11014695363580687,Drinking Water Use
Impaired,Sediment,Turbidity,9333.0785,387963.249,2.405660465019974,Drinking Water Use
Unimpaired,Unimpaired,Unimpaired,111150,387963.249,28.64962088200266,Drinking Water Use
