sui_category_5,STATES,total_hucs,n_cat_sui,prop_cat_sui,d3_percentage,d3_category
"Very low/
none",NV,2564,1424,0.5553822152886115,0.5553822152886115,"Very low/
none"
"Very low/
none",NY,1673,1603,0.9581589958158996,0.9581589958158996,"Very low/
none"
"Very low/
none",OH,1538,1124,0.7308192457737321,0.7308192457737321,"Very low/
none"
"Very low/
none",OK,2079,204,0.09812409812409813,0.09812409812409813,"Very low/
none"
"Very low/
none",OR,3119,2428,0.7784546328951587,0.7784546328951587,"Very low/
none"
"Very low/
none",PA,1451,1423,0.9807029634734665,0.9807029634734665,"Very low/
none"
"Very low/
none",RI,58,57,0.9827586206896551,0.9827586206896551,"Very low/
none"
"Very low/
none",SC,948,627,0.6613924050632911,0.6613924050632911,"Very low/
none"
"Very low/
none",SD,2411,376,0.15595188718374117,0.15595188718374117,"Very low/
none"
"Very low/
none",TN,1153,881,0.764093668690373,0.764093668690373,"Very low/
none"
"Very low/
none",TX,6345,570,0.08983451536643026,0.08983451536643026,"Very low/
none"
"Very low/
none",UT,2557,1536,0.6007039499413375,0.6007039499413375,"Very low/
none"
"Very low/
none",VA,1285,1028,0.8,0.8,"Very low/
none"
"Very low/
none",VT,268,264,0.9850746268656716,0.9850746268656716,"Very low/
none"
"Very low/
none",WA,2017,1706,0.8458106098165592,0.8458106098165592,"Very low/
none"
"Very low/
none",WI,1803,1474,0.817526344980588,0.817526344980588,"Very low/
none"
"Very low/
none",WV,785,727,0.9261146496815287,0.9261146496815287,"Very low/
none"
"Very low/
none",WY,2385,1730,0.7253668763102725,0.7253668763102725,"Very low/
none"
