"This table was generated by identifying all the sources of total nitrogen, total phospohorous, and suspended sediment in the 2012 regional SPARROW models and manually assigning them to generalized source categories based on interpreation of the reports assoicated with each model (Ator, S.W., 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in streams of the Northeastern United States: U.S. Geological Survey Scientific Investigations Report 20195118, 57 p., https://doi.org/10.3133/sir20195118.

Hoos, A.B., and Roland, V.L. II, 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in the Southeastern United States: U.S. Geological Survey Scientific Investigations Report 2019–5135, 87 p., https://doi.org/10.3133/sir20195135.
NE,tp,ip_fert,"Incremental total phosphorus load from fertilizer applications, kg/yr",Fertilizer and manure
NE,tp,ip_manu,"Incremental total phosphorus load from manure applications, kg/yr",Fertilizer and manure
NE,tp,ip_rock,"Incremental total phosphorus load from mineral erosion, kg/yr",Geologic sources
NE,tp,ip_urb,"Incremental total phosphorus load from urban non-point sources, kg/yr",Developed
NE,tp,ip_poin,"Incremental total phosphorus load from point-source wastewater treatment facilities, kg/yr",Wastewater
PAC,ss,il_ss_agr,"Incremental suspended sediment load from agricultural land, kg/yr",Agricultural lands
PAC,ss,il_ss,"Incremental total suspended-sediment load from all sources, kg/yr",All sources
PAC,ss,il_ss_for,"Incremental suspended sediment load from forest land, kg/yr",Forests
PAC,ss,il_ss_chan,"Incremental suspended sediment load from channel sources, kg/yr",Stream channel
PAC,ss,il_ss_urb,"Incremental suspended sediment load from urban land, kg/yr",Developed
PAC,tn,il_tn,"Incremental total nitrogen load from all sources, kg/yr",All sources
PAC,tn,il_tn_atm,"Incremental total nitrogen load from atmospheric deposition, kg/yr",Atmospheric deposition
PAC,tn,il_tn_fer,"Incremental total nitrogen load from fertilizer and livestock manure applied to crop land, kg/yr",Fertilizer and manure
PAC,tn,il_tn_scg,"Incremental total nitrogen load from scrub and grassland, kg/yr",Nitrogen fixation
PAC,tn,il_tn_ald,"Incremental total nitrogen from red alder trees, kg/yr",Nitrogen fixation
PAC,tn,il_tn_spr,"Incremental total nitrogen load from spring discharge, kg/yr",Springs
PAC,tn,il_tn_urb,"Incremental total nitrogen load from urban land, kg/yr",Developed
PAC,tn,il_tn_wwtp,"Incremental total nitrogen load from wastewater treatment facility discharge, kg/yr",Wastewater
PAC,tp,il_tp,"Incremental total phosphorous load from all sources, kg/yr",All sources
PAC,tp,il_tp_fer,"Incremental total phosphorus load from fertilizer and livestock manure applied to cropland, kg/yr",Fertilizer and manure
