wsa_agidf,huc12,wu_frac
010106001,011000030201,0.7875
010106001,011000030301,0.2125
042800001,031800010301,0.3870967741935484
042800001,031800010302,0.21370967741935484
042800001,031800010303,0.39919354838709675
042800002,031800010802,0.3188118811881188
042800002,031800010803,0.6336633663366337
042800002,031800010901,0.047524752475247525
042800003,031800010502,0.0014727540500736377
042800003,031800010504,0.44477172312223856
042800003,031800010606,0.2349042709867452
042800003,031800010607,0.31885125184094254
042800004,031800010503,1.0
043740039,060102030207,0.48012718600953896
043740039,060102030206,0.5190779014308426
043740039,060102030205,0.000794912559618442
055293302,040201050603,0.7747440273037542
055293302,041800000102,0.22525597269624573
055294201,070101010901,0.2802197802197802
055294201,070101010902,0.7197802197802198
055294202,070101010704,0.18840579710144928
055294202,070101020601,0.050724637681159424
055294202,070101020602,0.7608695652173914
055294204,090300060105,0.5256410256410257
055294204,090300060106,0.47435897435897434
055294301,070102070106,0.15384615384615385
055294301,070102070107,0.8236397748592871
055294301,070102070201,0.0225140712945591
055294401,090300050703,1.0
055294602,090203020900,0.7850467289719626
055294602,090203020704,0.09719626168224299
055294602,090203020702,0.003738317757009346
055294602,090203020703,0.11401869158878504
055294603,090203020402,0.05217391304347826
055294603,090203020900,0.9478260869565217
055294701,090201080201,0.02403846153846154
055294701,090201080301,0.3173076923076923
055294701,090201080302,0.6586538461538461
055294702,070101060401,0.32142857142857145
055294702,070101060402,0.6785714285714286
055294703,090201080104,0.03614457831325301
055294703,090201080202,0.963855421686747
055294704,090201060103,0.011267605633802818
055294704,090201080403,0.16338028169014085
055294704,090201081001,0.8253521126760563
055294705,090201080402,0.016129032258064516
055294705,090201030101,0.9838709677419355
055294801,040102011501,0.9880952380952381
055294801,040102011503,0.011904761904761904
055295101,040103011101,0.9666666666666667
055295101,040103020612,0.03333333333333333
055295102,040103020704,0.6381909547738693
055295102,040103020705,0.36180904522613067
055295103,040103020505,0.8414634146341463
055295103,040103020704,0.15853658536585366
055295104,040103020703,0.961038961038961
055295104,040103020704,0.03896103896103896
055295301,070500010301,0.5954545454545455
055295301,070500010302,0.1409090909090909
055295301,070500010307,0.2636363636363636
055295401,070500020202,0.9122257053291536
055295401,070500020201,0.0877742946708464
055295501,040302020404,0.08823529411764706
055295501,040302020402,0.5
055295501,040302020401,0.4117647058823529
055295502,040302020702,1.0
055295503,040302020404,1.0
055295505,040301040501,0.09841954022988506
055295505,040302020602,0.04669540229885057
055295505,040302020702,0.8548850574712644
055295507,040302020404,0.9195402298850575
055295507,040302020505,0.022988505747126436
055295507,040302020702,0.05747126436781609
055295601,040302020104,0.18181818181818182
055295601,040302020105,0.8181818181818182
062005883,110702060202,1.0
063500110,130202020402,0.01015228426395939
063500110,130202020403,0.9509306260575296
063500110,130202020404,0.038917089678511
063500113,130201010906,1.0
063500114,130202030107,1.0
063500116,130201011205,0.055865921787709494
063500116,130201011304,0.9441340782122905
063500119,130201011204,1.0
063500122,130201011202,0.09345794392523364
063500122,130201011203,0.9065420560747663
063500123,130202020502,0.17131474103585656
